Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Montrezl Harrell,209,1580.34,603,375,10,0,428,73,46,49,74,128,931
Kyle Kuzma,179,1954.26,757,335,380,137,417,127,35,41,113,121,874
Kentavious Caldwell-Pope,207,1902.04,506,218,293,120,179,127,62,26,66,114,653
Talen Horton-Tucker,210,1304.19,489,224,131,37,169,181,63,21,105,127,585
Dennis Schröder,257,1956.23,760,332,212,71,211,351,70,13,163,159,941
Markieff Morris,112,1200.02,378,153,209,65,266,73,22,19,54,105,407
Alex Caruso,125,1216.0,305,133,137,55,170,160,64,15,76,108,370
Wesley Matthews,108,1129.9,252,89,197,66,93,54,38,17,26,80,279
Marc Gasol,166,993.12,194,88,122,50,215,109,26,58,53,115,262
LeBron James,256,1503.64,823,422,285,104,346,350,48,25,168,70,1126
Alfonzo McKinnie,166,258.01,93,48,39,16,54,6,7,0,5,26,122
Anthony Davis,147,1161.73,613,301,100,26,286,110,45,59,74,60,786
Andre Drummond,-211,1241.64,572,282,8,0,551,94,63,49,124,149,687
Ben McLemore,-211,904.71,365,135,280,97,100,39,23,9,42,88,406
Devontae Cacok,-44,97.62,29,17,0,0,32,1,5,4,5,8,39
Kostas Antetokounmpo,-22,55.82,10,3,0,0,19,1,2,4,11,8,12
Jared Dudley,69,80.63,9,2,6,2,21,5,1,1,2,7,6
Damian Jones,178,545.65,103,70,5,1,121,29,11,29,26,77,183
Quinn Cook,72,157.36,68,29,26,11,17,18,4,1,7,10,76
Danny Green,336,1934.35,544,224,432,175,260,118,92,56,67,125,654
Dwight Howard,368,1195.5,303,178,20,5,580,61,30,62,112,200,482
Matisse Thybulle,414,1297.77,243,102,143,43,124,63,105,71,32,127,255
Shake Milton,450,1460.88,667,300,203,71,148,193,39,18,103,130,817
Tobias Harris,392,2014.4,924,473,208,82,419,220,55,51,107,119,1210
Tyrese Maxey,384,935.46,429,198,103,31,104,120,26,13,41,79,488
Ben Simmons,398,1877.36,583,325,10,3,417,401,93,35,173,171,829
Seth Curry,352,1638.32,552,258,280,126,136,155,44,8,65,96,711
Furkan Korkmaz,377,1061.5,424,170,269,101,113,82,49,9,46,64,501
Joel Embiid,409,1585.2,899,461,154,58,539,145,50,69,159,123,1451
Mike Scott,312,851.62,211,76,155,53,120,40,24,14,19,72,213
Isaiah Joe,176,382.8,133,48,106,39,36,20,12,4,11,34,153
Paul Reed,237,177.29,78,42,6,0,61,12,10,13,12,29,88
George Hill,1,671.58,197,95,80,31,61,73,23,5,31,31,261
Rayjon Tucker,57,68.13,18,9,7,2,11,6,2,0,4,8,34
Anthony Tolliver,90,98.91,17,4,14,4,10,2,3,2,3,7,17
Gary Clark,-271,653.7,132,40,108,31,115,31,13,7,17,35,119
Dakota Mathias,-6,123.46,48,19,26,8,7,13,1,3,1,7,48
Tony Bradley,-283,683.97,197,131,3,0,239,37,15,30,33,61,300
Ignas Brazdeikis,-150,248.79,83,35,28,11,45,17,4,3,12,22,91
Mason Jones,-194,334.47,123,52,66,24,55,42,7,1,29,24,168
Vincent Poirier,149,39.13,12,3,1,0,14,2,0,3,4,8,8
Terrance Ferguson,152,49.32,7,1,5,0,1,2,1,0,4,7,2
Joe Harris,284,2141.27,707,357,444,211,248,130,46,14,62,141,974
Jeff Green,249,1835.1,530,261,250,103,263,108,36,27,54,122,750
Bruce Brown,317,1451.11,423,235,59,17,349,104,58,28,54,145,573
Landry Shamet,292,1402.61,456,186,333,129,112,99,31,10,48,93,567
Timothé Luwawu-Cabarrot,247,1050.26,356,130,239,75,129,69,33,6,43,99,370
DeAndre Jordan,210,1246.22,249,190,1,0,427,93,17,65,85,116,426
Kyrie Irving,297,1886.26,1086,549,378,152,257,324,76,37,130,140,1451
Tyler Johnson,272,683.84,183,72,132,48,77,47,14,0,17,43,210
James Harden,170,1608.8,734,342,334,121,348,475,53,33,177,99,1083
Kevin Durant,193,1156.68,603,324,189,85,247,195,25,45,120,70,943
Nicolas Claxton,181,594.29,145,90,5,1,166,28,23,40,18,68,212
Blake Griffin,48,1186.57,411,174,205,70,225,140,32,15,62,111,505
Reggie Perry,172,210.71,78,32,21,4,73,14,6,6,15,40,78
Chris Chiozza,80,232.39,88,31,42,13,24,65,7,6,16,19,88
Alize Johnson,55,188.73,68,40,6,1,90,14,5,5,9,16,94
Mike James,66,235.99,92,34,31,11,32,54,6,1,20,10,100
Andre Roberson,32,62.93,14,2,8,1,15,4,3,1,2,4,6
Spencer Dinwiddie,52,64.33,16,6,7,2,13,9,2,1,5,4,20
Iman Shumpert,-8,10.99,4,1,3,0,1,0,1,0,1,0,2
Caris LeVert,70,1485.37,814,359,258,84,214,245,66,30,102,105,948
Jarrett Allen,-432,1863.64,482,298,19,6,631,106,32,90,100,96,806
LaMarcus Aldridge,27,674.42,296,140,80,31,118,49,11,29,27,47,352
Taurean Prince,-147,905.24,327,131,155,62,142,76,28,23,47,75,389
Norvel Pelle,62,83.3,15,8,0,0,19,2,1,9,3,14,20
Tyler Cook,-115,437.29,103,69,2,1,95,17,8,2,21,35,156
Rodions Kurucs,22,124.55,32,11,21,6,23,10,9,4,13,16,31
Noah Vonleh,27,10.77,3,0,2,0,1,1,0,0,2,2,0
Brook Lopez,438,1901.82,640,322,281,95,347,50,40,103,64,149,859
