Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Karim Mané,-13.3,8.83,1.3,0.3,0.2,0.1,1.4,0.4,0.0,0.2,0.3,1.0,1.1
Robin Lopez,-1.82,19.07,5.99,3.79,0.25,0.07,3.83,0.77,0.21,0.62,1.06,1.54,9.04
Russell Westbrook,-2.34,36.44,19.05,8.37,4.2,1.32,11.54,11.74,1.37,0.35,4.8,2.92,22.23
Raul Neto,-1.41,21.92,6.98,3.27,2.56,1.0,2.44,2.28,1.14,0.09,0.83,1.7,8.7
Garrison Mathews,-1.78,16.22,3.7,1.52,3.09,1.19,1.36,0.41,0.45,0.11,0.16,1.66,5.53
Bradley Beal,-0.52,35.79,23.03,11.17,6.22,2.17,4.72,4.42,1.15,0.37,3.12,2.33,31.3
Rui Hachimura,-1.16,31.53,11.37,5.44,2.4,0.79,5.47,1.44,0.77,0.12,1.19,2.11,13.84
Dāvis Bertāns,-0.35,25.68,8.39,3.39,7.51,2.96,2.95,0.86,0.58,0.23,0.58,2.39,11.49
Deni Avdija,-2.81,23.28,5.78,2.41,3.11,0.98,4.85,1.17,0.59,0.28,0.61,2.59,6.33
Ish Smith,0.34,20.99,6.75,2.93,1.11,0.41,3.41,3.91,0.73,0.3,0.93,1.41,6.7
Isaac Bonga,-3.05,10.8,2.02,0.75,1.18,0.33,1.65,0.57,0.28,0.23,0.55,1.57,1.95
Anthony Gill,-1.69,8.38,2.31,1.15,0.92,0.27,1.96,0.42,0.38,0.15,0.31,1.04,3.08
Cassius Winston,-2.68,4.46,1.5,0.64,0.77,0.36,0.41,0.55,0.09,0.05,0.23,0.36,1.86
Thomas Bryant,-3.0,27.08,9.1,5.9,2.1,0.9,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Jerome Robinson,-7.65,17.94,5.59,1.65,2.47,0.65,2.24,1.47,0.71,0.35,1.12,1.82,4.88
Jordan Bell,-2.17,13.65,3.67,1.17,0.33,0.0,4.0,1.17,0.5,0.83,0.67,1.17,2.5
Anžejs Pasečņiks,21.0,6.32,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Isaac Okoro,-8.78,32.43,8.34,3.51,3.19,0.93,3.07,1.91,0.93,0.36,1.28,2.76,9.64
Dean Wade,-9.05,19.24,4.94,2.13,3.38,1.24,3.41,1.17,0.56,0.33,0.48,1.24,5.97
Collin Sexton,-8.93,35.25,18.42,8.75,4.4,1.63,3.12,4.37,1.03,0.17,2.78,2.62,24.33
Cedi Osman,-9.68,25.6,9.93,3.71,5.49,1.68,3.41,2.95,0.9,0.15,1.36,2.02,10.39
Darius Garland,-6.93,33.15,14.85,6.7,4.93,1.94,2.39,6.09,1.22,0.11,3.04,2.04,17.43
Damyean Dotson,-9.87,19.72,6.37,2.59,3.46,1.0,2.02,1.98,0.35,0.09,0.91,0.91,6.7
Lamar Stevens,-8.82,12.47,3.4,1.55,0.62,0.1,2.4,0.62,0.42,0.33,0.57,1.32,4.12
Larry Nance,-6.09,31.19,7.77,3.66,3.26,1.17,6.71,3.06,1.74,0.49,1.57,2.06,9.34
Dylan Windler,-8.35,16.54,4.19,1.84,2.48,0.84,3.45,1.06,0.61,0.39,1.03,1.19,5.19
Brodric Thomas,-10.12,12.48,3.38,1.22,1.84,0.5,1.66,0.94,0.47,0.31,0.69,1.25,3.91
Kevin Love,-7.4,24.89,10.08,4.12,6.24,2.28,7.44,2.52,0.64,0.08,1.52,1.04,12.2
Isaiah Hartenstein,0.96,12.15,3.72,2.04,0.13,0.04,3.93,1.2,0.41,0.85,0.96,2.26,5.13
Mfiondu Kabengele,0.49,7.18,2.28,0.85,1.28,0.33,1.54,0.44,0.21,0.33,0.38,0.92,2.44
Matthew Dellavedova,-2.15,17.24,4.31,1.08,1.92,0.31,1.85,4.46,0.31,0.08,0.46,1.62,2.77
Jeremiah Martin,-19.0,8.35,3.67,1.0,1.33,0.33,0.78,0.44,0.56,0.22,0.67,0.11,2.44
Quinn Cook,3.13,6.84,2.96,1.26,1.13,0.48,0.74,0.78,0.17,0.04,0.3,0.43,3.3
Andre Drummond,-4.59,26.99,12.43,6.13,0.17,0.0,11.98,2.04,1.37,1.07,2.7,3.24,14.93
Yogi Ferrell,0.1,13.69,5.7,2.0,2.8,0.9,1.9,2.2,0.7,0.3,0.3,1.1,5.6
Dante Exum,-1.83,19.36,4.33,1.67,1.83,0.33,2.83,2.17,0.67,0.33,1.17,1.5,3.83
JaVale McGee,-4.91,14.75,6.13,3.13,0.52,0.11,5.2,0.85,0.41,1.17,1.3,2.63,7.33
Thon Maker,-7.25,9.56,2.25,1.25,0.25,0.0,2.25,0.5,0.25,0.5,0.38,0.88,3.75
Anderson Varejão,-18.0,7.19,3.2,0.8,0.2,0.0,4.0,0.6,0.0,0.4,0.2,0.6,2.6
Marques Bolden,-8.33,4.77,0.5,0.17,0.0,0.0,1.0,0.0,0.33,0.33,0.33,0.0,1.17
Saddiq Bey,-4.67,27.27,9.87,3.99,6.57,2.5,4.54,1.36,0.74,0.2,0.86,1.57,12.24
Isaiah Stewart,-4.07,21.39,6.01,3.32,0.93,0.31,6.66,0.87,0.57,1.26,0.99,2.71,7.9
Josh Jackson,-5.23,25.15,11.4,4.77,4.15,1.24,4.1,2.31,0.85,0.76,2.29,2.87,13.35
Mason Plumlee,-4.77,26.76,6.8,4.18,0.12,0.0,9.27,3.61,0.77,0.89,1.88,3.32,10.38
Sekou Doumbouya,-4.07,15.52,5.04,1.91,2.05,0.46,2.55,0.84,0.43,0.16,0.79,1.68,5.09
Jerami Grant,-4.35,33.88,17.26,7.41,6.09,2.13,4.63,2.81,0.65,1.07,2.02,2.31,22.31
Saben Lee,-4.27,16.26,4.38,2.06,0.48,0.17,2.02,3.62,0.67,0.27,1.15,1.58,5.56
Wayne Ellington,-3.63,22.0,7.35,3.24,5.98,2.52,1.85,1.46,0.39,0.2,0.72,1.28,9.61
Frank Jackson,-4.6,18.46,7.33,3.35,3.75,1.52,2.15,0.9,0.38,0.03,0.85,1.32,9.75
Jahlil Okafor,-7.96,12.86,3.78,2.33,0.33,0.07,2.44,0.48,0.22,0.19,0.78,1.44,5.37
Killian Hayes,-6.62,25.78,7.73,2.73,2.77,0.77,2.65,5.31,1.04,0.38,3.19,2.19,6.77
Hamidou Diallo,-5.6,23.58,9.04,4.31,1.58,0.54,5.23,1.94,0.79,0.46,1.46,2.58,11.62
Deividas Sirvydis,-3.45,6.66,2.0,0.7,1.4,0.5,1.45,0.25,0.1,0.0,0.25,0.45,2.05
Cory Joseph,-4.41,22.95,6.76,3.17,2.1,0.71,2.52,3.38,0.97,0.29,1.25,2.21,8.21
Rodney McGruder,-6.0,12.1,4.38,2.31,1.5,0.69,1.38,1.0,0.5,0.06,0.44,0.75,5.69
Delon Wright,-3.71,27.75,8.22,3.81,2.73,1.02,4.27,4.41,1.6,0.48,1.32,1.19,10.24
Sviatoslav Mykhailiuk,-10.26,20.07,7.67,3.15,4.76,1.59,2.47,1.67,0.77,0.18,1.33,0.95,8.47
Bojan Bogdanović,9.25,30.77,12.85,5.64,6.4,2.5,3.9,1.89,0.62,0.06,1.78,1.6,17.01
Georges Niang,9.25,16.03,5.62,2.46,4.06,1.72,2.44,0.82,0.35,0.11,0.71,1.61,6.94
Rudy Gobert,9.55,30.8,8.15,5.51,0.06,0.0,13.52,1.25,0.56,2.68,1.66,2.3,14.3
Royce O'Neale,9.24,31.56,5.55,2.46,3.92,1.51,6.83,2.55,0.8,0.45,1.17,2.56,6.99
Jordan Clarkson,9.19,26.73,15.81,6.72,8.81,3.06,4.03,2.47,0.9,0.15,1.69,1.62,18.4
Derrick Favors,9.4,15.28,3.57,2.28,0.03,0.0,5.53,0.65,0.47,1.0,0.53,2.1,5.43
Joe Ingles,8.73,27.86,8.39,4.1,6.06,2.73,3.64,4.75,0.67,0.18,1.75,1.79,12.07
Miye Oni,12.93,9.62,1.83,0.65,1.63,0.56,1.56,0.52,0.2,0.15,0.3,1.13,1.94
Donovan Mitchell,9.32,33.42,20.58,9.02,8.7,3.36,4.43,5.23,0.98,0.28,2.77,2.21,26.43
Mike Conley,8.84,29.36,12.55,5.57,6.57,2.71,3.47,5.98,1.37,0.18,1.94,1.92,16.22
Trent Forrest,12.7,10.07,2.37,1.07,0.87,0.17,1.47,1.5,0.3,0.13,0.7,0.73,2.93
Juwan Morgan,14.59,5.07,1.03,0.48,0.45,0.14,0.97,0.31,0.14,0.03,0.14,0.72,1.21
Jarrell Brantley,16.64,4.94,1.86,0.89,1.0,0.43,0.96,0.54,0.25,0.07,0.29,0.61,2.29
Elijah Hughes,15.0,3.54,1.67,0.56,1.28,0.44,0.5,0.33,0.06,0.06,0.33,0.06,1.72
Ersan İlyasova,17.06,8.68,3.18,1.24,2.41,1.06,1.71,0.24,0.59,0.18,0.47,1.71,3.82
Udoka Azubuike,13.07,3.81,0.6,0.27,0.0,0.0,0.87,0.0,0.07,0.27,0.2,0.6,1.07
Shaquille Harrison,9.15,9.78,2.29,0.76,0.47,0.09,1.41,0.74,0.5,0.15,0.32,0.97,2.15
Ivica Zubac,6.18,22.34,5.47,3.57,0.06,0.01,7.21,1.25,0.33,0.86,1.12,2.6,9.03
Reggie Jackson,6.24,23.05,8.73,3.93,4.21,1.82,2.87,3.06,0.61,0.1,1.1,1.9,10.67
Nicolas Batum,6.39,27.38,6.15,2.85,4.06,1.64,4.72,2.21,1.03,0.55,0.79,1.52,8.06
Terance Mann,6.75,18.85,5.22,2.66,1.36,0.57,3.61,1.55,0.43,0.19,0.6,1.88,7.04
Luke Kennard,7.81,19.56,6.57,3.13,3.56,1.59,2.56,1.65,0.37,0.14,0.76,1.44,8.25
Marcus Morris,7.37,26.35,10.25,4.84,5.19,2.46,4.11,1.02,0.6,0.26,1.0,2.05,13.42
Paul George,7.3,33.72,17.65,8.24,7.7,3.17,6.65,5.19,1.15,0.44,3.31,2.44,23.31
Kawhi Leonard,8.96,34.09,17.46,8.94,4.88,1.94,6.48,5.17,1.56,0.4,2.02,1.58,24.85
Amir Coffey,7.3,8.96,2.34,1.02,1.27,0.52,1.0,0.5,0.23,0.0,0.34,0.68,3.18
Serge Ibaka,4.05,23.29,8.9,4.54,2.8,0.95,6.71,1.8,0.22,1.15,1.07,1.85,11.07
Patrick Patterson,5.89,15.31,4.34,1.89,2.95,1.05,1.97,0.76,0.37,0.21,0.29,1.18,5.18
Patrick Beverley,6.14,22.5,5.95,2.51,3.81,1.51,3.22,2.05,0.78,0.76,0.92,2.92,7.51
Daniel Oturu,9.83,5.36,1.73,0.73,0.17,0.03,1.6,0.33,0.13,0.23,0.3,0.8,1.8
DeMarcus Cousins,1.9,17.39,7.44,3.17,3.29,1.15,6.41,1.85,0.83,0.59,1.56,2.61,8.93
Jay Scrubb,7.5,21.05,9.0,3.5,2.25,0.5,3.5,0.25,1.0,0.0,1.75,1.25,8.75
Malik Fitts,15.67,3.61,1.0,0.33,0.67,0.33,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Mikal Bridges,5.82,32.61,9.29,5.04,4.38,1.86,4.29,2.11,1.06,0.88,0.79,1.61,13.47
Chris Paul,5.87,31.42,12.56,6.27,3.69,1.46,4.46,8.89,1.41,0.27,2.23,2.37,16.41
Deandre Ayton,5.49,30.65,9.96,6.23,0.29,0.06,10.54,1.43,0.59,1.17,1.49,2.84,14.45
Devin Booker,6.01,33.88,19.21,9.3,5.54,1.88,4.19,4.31,0.79,0.24,3.09,2.7,25.55
Jae Crowder,6.38,27.47,8.2,3.32,6.33,2.47,4.7,2.12,0.8,0.45,0.92,2.08,10.05
Cameron Johnson,5.45,23.96,8.05,3.38,5.58,1.95,3.32,1.43,0.62,0.27,0.67,1.42,9.55
Cameron Payne,6.58,17.99,6.58,3.18,2.77,1.22,2.4,3.62,0.6,0.27,1.0,1.62,8.42
Jevon Carter,6.27,11.94,3.72,1.57,2.52,0.93,1.53,1.18,0.48,0.15,0.27,0.93,4.13
Dario Šarić,7.3,17.41,6.84,3.06,2.7,0.94,3.8,1.3,0.6,0.08,1.14,1.9,8.74
Frank Kaminsky,6.79,15.21,5.47,2.57,1.81,0.66,4.0,1.68,0.3,0.36,0.47,1.49,6.6
Langston Galloway,6.95,10.94,3.67,1.65,2.12,0.9,1.05,0.65,0.2,0.0,0.33,0.62,4.75
E'Twaun Moore,7.48,14.4,4.48,2.04,1.3,0.41,1.67,1.48,0.56,0.19,0.85,1.19,4.93
Jalen Smith,8.04,5.77,1.85,0.81,0.63,0.15,1.37,0.15,0.04,0.19,0.26,0.59,1.96
Abdel Nader,7.29,14.8,4.83,2.38,1.79,0.75,2.58,0.79,0.42,0.38,0.79,1.42,6.67
Ty-Shon Alexander,10.13,3.17,0.8,0.2,0.6,0.13,0.67,0.4,0.0,0.07,0.2,0.13,0.6
Damian Jones,4.56,13.99,2.64,1.79,0.13,0.03,3.1,0.74,0.28,0.74,0.67,1.97,4.69
Enes Kanter,1.79,24.41,7.79,4.71,0.06,0.01,11.04,1.17,0.46,0.67,1.08,2.33,11.19
Robert Covington,1.93,32.04,7.27,2.91,5.09,1.93,6.66,1.67,1.44,1.2,0.91,2.79,8.47
Carmelo Anthony,1.28,24.49,11.26,4.74,4.71,1.93,3.1,1.51,0.67,0.55,0.88,2.09,13.39
Damian Lillard,1.7,35.79,19.91,8.99,10.51,4.1,4.22,7.54,0.93,0.25,3.03,1.52,28.78
Anfernee Simons,2.06,17.26,6.27,2.62,4.41,1.88,2.19,1.39,0.28,0.12,0.67,1.5,7.84
Derrick Jones,0.12,22.72,5.24,2.53,2.34,0.74,3.53,0.81,0.64,0.93,0.55,2.19,6.83
Nassir Little,1.83,13.34,3.48,1.62,1.67,0.58,2.67,0.48,0.1,0.27,0.38,1.06,4.58
CJ McCollum,3.3,34.03,18.81,8.62,8.94,3.6,3.94,4.74,0.94,0.45,1.38,1.85,23.13
Harry Giles,3.32,9.16,2.55,1.11,0.61,0.21,3.5,0.76,0.21,0.34,0.53,1.42,2.84
Jusuf Nurkić,4.81,23.79,9.0,4.62,0.81,0.32,8.97,3.38,1.03,1.05,1.97,2.78,11.46
CJ Elleby,4.5,6.41,2.2,0.83,1.13,0.23,1.07,0.33,0.2,0.1,0.17,0.9,2.27
Keljin Blevins,3.82,4.41,1.18,0.29,0.47,0.12,0.59,0.24,0.12,0.0,0.29,0.47,0.71
Rondae Hollis-Jefferson,7.82,9.76,1.64,0.82,0.09,0.0,2.36,1.18,0.18,0.36,0.18,1.36,2.45
T.J. Leaf,16.57,5.06,1.43,0.71,0.0,0.0,0.71,0.14,0.29,0.14,0.29,0.14,1.71
Zach Collins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Keldon Johnson,-1.65,28.52,10.22,4.9,2.62,0.87,5.97,1.75,0.58,0.35,1.13,2.06,12.77
Jakob Poeltl,-1.62,26.74,6.23,3.84,0.0,0.0,7.93,1.94,0.68,1.78,1.2,2.49,8.59
Patty Mills,-2.31,24.78,8.99,3.71,6.31,2.37,1.71,2.38,0.62,0.04,0.97,1.19,10.82
Dejounte Murray,-1.04,31.93,14.54,6.58,2.97,0.94,7.06,5.42,1.51,0.1,1.75,2.01,15.69
Rudy Gay,-1.11,21.55,9.97,4.19,4.41,1.68,4.81,1.4,0.71,0.63,1.03,1.83,11.37
Devin Vassell,-1.84,17.03,4.89,1.98,2.42,0.84,2.81,0.9,0.69,0.29,0.35,1.42,5.5
DeMar DeRozan,-2.21,33.71,15.08,7.46,1.21,0.31,4.25,6.92,0.92,0.25,1.95,2.1,21.57
Lonnie Walker,-1.05,25.36,10.15,4.27,4.7,1.67,2.58,1.68,0.48,0.25,1.08,1.68,11.15
Drew Eubanks,-3.5,13.99,3.8,2.15,0.04,0.04,4.46,0.78,0.33,0.91,0.83,1.63,5.76
Tre Jones,-2.95,7.26,2.11,1.0,0.14,0.08,0.57,1.05,0.22,0.0,0.35,0.35,2.54
Derrick White,-1.22,29.54,12.58,5.17,6.75,2.33,2.97,3.53,0.72,1.0,1.25,2.53,15.36
Luka Šamanić,-2.27,9.34,3.18,1.42,1.3,0.36,2.06,0.45,0.24,0.24,0.61,1.3,3.7
Keita Bates-Diop,-2.67,8.16,2.23,1.0,0.57,0.17,1.63,0.4,0.37,0.17,0.23,0.37,2.63
Trey Lyles,-3.83,15.56,3.91,1.87,1.74,0.61,3.74,0.61,0.26,0.04,0.26,0.57,5.0
Quinndary Weatherspoon,-6.65,6.05,1.75,0.8,0.3,0.05,0.55,0.4,0.4,0.1,0.5,0.9,2.3
Gorgui Dieng,-3.03,14.55,4.29,2.24,1.84,0.79,3.68,1.26,0.68,0.42,0.84,1.47,6.79
Cameron Reynolds,-1.8,8.1,3.6,1.2,2.4,0.6,1.0,0.4,0.0,0.0,0.0,0.4,3.0
DaQuan Jeffries,-9.45,15.9,3.87,1.61,2.16,0.65,2.29,0.71,0.48,0.32,0.45,1.55,4.1
Nikola Jokić,4.93,34.55,17.96,10.17,3.29,1.28,10.83,8.32,1.32,0.67,3.08,2.67,26.36
Facundo Campazzo,4.92,21.92,4.85,1.85,3.32,1.17,2.06,3.57,1.22,0.22,1.12,2.03,6.09
Michael Porter,4.54,31.35,13.39,7.26,6.26,2.79,7.3,1.15,0.66,0.89,1.26,2.07,19.05
JaMychal Green,5.0,19.31,6.45,2.98,3.41,1.36,4.78,0.91,0.45,0.38,0.91,2.48,8.12
Will Barton,5.11,31.0,10.86,4.62,4.59,1.75,4.04,3.23,0.89,0.41,1.71,1.7,12.7
Paul Millsap,4.71,20.75,7.16,3.41,2.55,0.88,4.68,1.75,0.91,0.64,0.91,1.98,8.96
PJ Dozier,5.92,21.77,7.1,2.96,2.98,0.94,3.64,1.84,0.62,0.44,0.92,1.72,7.7
Jamal Murray,5.54,35.49,16.5,7.88,6.58,2.69,4.04,4.81,1.33,0.27,2.25,1.98,21.21
Monte Morris,5.6,25.45,8.23,3.96,2.85,1.09,2.04,3.19,0.72,0.28,0.72,1.02,10.23
Zeke Nnaji,7.95,9.46,2.48,1.19,1.4,0.57,1.55,0.24,0.19,0.1,0.17,0.69,3.24
Vlatko Čančar,7.1,6.86,1.76,0.8,0.8,0.22,1.22,0.34,0.27,0.05,0.34,0.44,2.07
Markus Howard,7.0,5.54,2.86,1.08,1.76,0.49,0.57,0.49,0.11,0.03,0.49,0.62,2.84
Bol Bol,7.97,4.99,1.81,0.78,0.75,0.28,0.75,0.22,0.09,0.31,0.41,0.44,2.16
Greg Whittington,15.75,3.01,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,1.03,33.3,14.9,7.11,5.18,1.97,4.89,2.35,0.94,0.99,1.77,2.24,18.59
Kent Bazemore,1.04,19.9,5.85,2.63,2.75,1.12,3.42,1.61,1.03,0.49,1.22,2.36,7.18
Stephen Curry,3.06,34.15,21.67,10.44,12.71,5.35,5.48,5.76,1.22,0.13,3.38,1.89,31.98
Draymond Green,3.43,31.46,6.03,2.7,2.0,0.54,7.13,8.86,1.67,0.83,2.98,3.08,7.05
Kevon Looney,0.25,19.03,3.23,1.77,0.28,0.07,5.28,1.95,0.34,0.36,0.61,2.23,4.11
Mychal Mulder,1.93,12.76,4.42,1.98,3.57,1.42,1.0,0.43,0.2,0.2,0.27,0.93,5.62
Damion Lee,-0.61,18.93,4.81,2.25,3.4,1.35,3.16,1.28,0.67,0.14,0.53,1.56,6.54
Kelly Oubre,-1.53,30.68,13.16,5.78,5.18,1.64,5.98,1.33,1.04,0.76,1.27,2.2,15.44
Juan Toscano-Anderson,0.15,20.89,3.94,2.28,1.74,0.7,4.42,2.83,0.77,0.49,1.15,2.09,5.68
Jordan Poole,0.16,19.37,9.29,4.02,5.41,1.9,1.8,1.94,0.51,0.18,1.0,1.69,12.0
Eric Paschall,-2.83,17.37,7.45,3.7,1.35,0.45,3.2,1.27,0.3,0.17,1.07,1.7,9.53
James Wiseman,-4.56,21.43,9.44,4.9,0.97,0.31,5.79,0.67,0.28,0.92,1.54,3.1,11.49
Nico Mannion,1.3,12.13,3.8,1.3,2.0,0.73,1.53,2.33,0.53,0.03,1.03,0.97,4.1
Alen Smailagić,4.07,5.59,1.8,0.73,0.67,0.27,1.07,0.27,0.2,0.33,0.33,0.73,1.87
Klay Thompson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Marquese Chriss,-32.5,13.36,7.0,2.5,2.5,0.5,6.5,1.0,0.0,1.0,1.0,1.5,6.5
Gary Payton,7.8,4.03,1.3,1.0,0.4,0.2,1.1,0.1,0.6,0.1,0.1,0.8,2.5
Tim Hardaway,2.73,28.36,13.01,5.81,7.56,2.96,3.27,1.8,0.44,0.16,0.91,1.59,16.61
Jalen Brunson,2.31,24.96,9.22,4.82,2.94,1.19,3.4,3.51,0.51,0.01,1.18,1.6,12.6
Luka Dončić,2.82,34.28,20.47,9.8,8.3,2.91,7.98,8.59,0.97,0.55,4.26,2.3,27.73
Trey Burke,2.15,14.7,5.69,2.44,2.65,0.94,0.87,1.31,0.58,0.11,0.53,1.03,6.63
Dorian Finney-Smith,2.87,32.01,7.77,3.67,5.03,1.98,5.43,1.7,0.87,0.42,0.8,2.3,9.83
Josh Richardson,2.24,30.33,10.47,4.47,4.53,1.49,3.31,2.59,1.03,0.41,1.34,2.2,12.12
Dwight Powell,3.41,16.65,3.34,2.07,0.36,0.09,4.03,1.09,0.62,0.52,0.69,2.33,5.9
Willie Cauley-Stein,0.72,17.09,3.43,2.17,0.21,0.02,4.45,0.66,0.4,0.81,0.55,2.43,5.28
Maxi Kleber,3.4,26.82,5.5,2.32,4.24,1.74,5.2,1.36,0.48,0.7,0.6,2.1,7.06
Kristaps Porziņģis,2.28,30.85,15.88,7.56,6.0,2.26,8.86,1.58,0.47,1.35,1.19,2.67,20.12
Josh Green,1.56,11.4,2.38,1.08,0.64,0.1,2.0,0.72,0.41,0.08,0.44,0.9,2.59
Boban Marjanović,-0.18,8.22,3.7,1.88,0.24,0.03,3.88,0.3,0.06,0.18,0.36,0.88,4.73
Nicolò Melli,3.04,12.58,3.13,1.02,1.89,0.51,2.71,0.98,0.31,0.07,0.27,1.29,2.98
Nate Hinton,3.14,4.44,2.0,0.71,0.9,0.19,0.43,0.38,0.33,0.1,0.24,0.38,1.95
Tyler Bey,5.28,3.94,1.22,0.39,0.22,0.06,1.06,0.17,0.0,0.06,0.17,0.33,1.0
J.J. Redick,1.07,16.44,6.07,2.41,4.05,1.5,1.45,1.16,0.25,0.07,0.82,1.14,7.43
Tyrell Terry,-8.0,5.12,1.45,0.45,0.64,0.0,0.55,0.55,0.45,0.0,0.18,0.18,1.0
James Johnson,-2.88,20.45,6.41,2.86,2.35,0.61,3.47,1.92,0.82,0.82,1.08,2.35,7.22
Wesley Iwundu,-1.44,13.14,2.49,0.83,1.0,0.12,2.2,0.44,0.37,0.1,0.46,1.2,2.41
Tyus Jones,0.93,17.46,5.9,2.54,2.0,0.64,2.0,3.7,0.91,0.09,0.69,0.44,6.31
Kyle Anderson,1.3,27.35,9.54,4.46,3.78,1.36,5.74,3.62,1.22,0.83,1.25,1.74,12.38
Desmond Bane,1.35,22.34,7.34,3.44,3.99,1.72,3.09,1.74,0.6,0.24,0.87,1.84,9.19
Dillon Brooks,1.52,29.8,15.39,6.45,5.55,1.91,2.93,2.34,1.16,0.39,1.78,3.54,17.18
Ja Morant,1.13,32.59,15.19,6.83,3.83,1.16,4.0,7.38,0.9,0.21,3.22,1.38,19.11
Jonas Valančiūnas,0.55,28.31,11.98,7.1,0.92,0.34,12.52,1.81,0.56,0.92,1.61,2.89,17.06
Brandon Clarke,1.47,23.98,8.39,4.34,1.31,0.34,5.56,1.61,1.02,0.86,0.56,1.42,10.34
Xavier Tillman,1.68,18.38,5.07,2.83,1.1,0.37,4.34,1.27,0.75,0.56,0.76,1.97,6.61
De'Anthony Melton,1.1,20.1,7.56,3.31,4.06,1.67,3.1,2.54,1.15,0.6,1.27,1.63,9.08
Grayson Allen,-0.7,25.19,8.28,3.46,5.48,2.14,3.2,2.16,0.92,0.16,0.96,1.42,10.64
John Konchar,1.21,13.37,3.21,1.6,1.3,0.49,2.98,1.09,0.7,0.21,0.42,0.93,4.28
Justise Winslow,1.85,19.5,8.08,2.85,2.08,0.38,4.54,1.92,0.58,0.46,1.42,1.81,6.85
Killian Tillie,4.39,10.1,3.17,1.06,1.83,0.56,1.33,0.44,0.28,0.44,0.11,1.11,3.17
Sean McDermott,-0.67,8.76,1.83,0.72,1.22,0.28,1.06,0.22,0.11,0.17,0.22,0.44,2.17
Jaren Jackson,-6.82,23.49,11.36,4.82,5.45,1.55,5.64,1.09,1.09,1.64,1.36,3.82,14.36
Jontay Porter,2.82,4.91,1.36,0.73,0.73,0.27,1.27,0.09,0.27,0.09,0.64,1.09,2.0
Tim Frazier,11.2,12.39,4.0,0.6,1.6,0.0,1.6,3.2,0.4,0.2,0.8,1.4,1.6
Eric Bledsoe,-0.23,29.74,10.28,4.32,5.0,1.7,3.44,3.77,0.77,0.34,1.61,1.58,12.24
Zion Williamson,0.87,33.21,17.0,10.39,0.56,0.16,7.23,3.7,0.93,0.64,2.74,2.21,27.0
Brandon Ingram,1.34,34.3,18.05,8.41,6.15,2.34,4.9,4.85,0.69,0.59,2.52,2.03,23.77
Jaxson Hayes,-0.63,16.06,4.67,2.92,0.23,0.1,4.28,0.58,0.42,0.63,0.65,1.68,7.48
Steven Adams,0.72,27.67,5.31,3.26,0.05,0.0,8.86,1.91,0.93,0.66,1.34,1.95,7.55
Lonzo Ball,0.25,31.77,12.73,5.27,8.27,3.13,4.78,5.75,1.49,0.56,2.24,1.87,14.58
Kira Lewis,0.2,16.75,6.24,2.41,2.22,0.74,1.31,2.3,0.7,0.19,0.63,1.63,6.35
Josh Hart,0.57,28.71,7.32,3.21,4.11,1.34,8.02,2.32,0.81,0.26,1.04,2.36,9.23
Willy Hernangómez,-0.38,18.0,5.7,3.21,0.21,0.02,7.11,1.06,0.47,0.49,0.72,1.45,7.77
Nickeil Alexander-Walker,-0.13,21.89,9.96,4.17,4.76,1.65,3.13,2.22,1.02,0.48,1.5,1.91,11.04
Naji Marshall,-0.38,21.87,6.53,2.56,2.59,0.91,4.62,2.75,0.81,0.31,1.19,1.81,7.69
Wenyen Gabriel,0.86,11.47,2.86,1.14,1.52,0.62,2.57,0.52,0.43,0.38,0.71,1.52,3.43
James Nunnally,-1.22,5.31,1.44,0.56,1.33,0.44,1.0,0.33,0.0,0.0,0.22,0.11,1.67
Isaiah Thomas,-12.33,16.09,9.0,3.0,4.0,1.0,1.33,1.67,0.33,0.0,2.0,1.0,7.67
Didi Louzada,-11.0,18.78,4.33,1.0,2.67,0.67,1.0,1.0,0.67,0.0,1.0,1.67,2.67
Will Magnay,17.0,3.27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Buddy Hield,-3.63,34.27,13.97,5.68,10.15,3.97,4.7,3.62,0.89,0.42,1.83,2.46,16.56
Richaun Holmes,-2.82,29.2,9.43,6.0,0.18,0.03,8.26,1.66,0.64,1.57,1.23,3.49,14.25
De'Aaron Fox,-4.22,35.11,19.14,9.12,5.52,1.78,3.5,7.19,1.5,0.47,3.0,2.93,25.19
Harrison Barnes,-3.86,36.25,11.07,5.5,4.41,1.72,6.64,3.47,0.74,0.19,1.6,1.29,16.09
Tyrese Haliburton,-4.28,30.1,10.67,5.03,5.1,2.09,2.98,5.33,1.33,0.48,1.59,1.43,12.98
Marvin Bagley,-3.0,25.86,11.4,5.74,2.51,0.86,7.4,1.0,0.49,0.49,1.37,2.33,14.14
