Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Myles Turner,0.7,30.96,9.19,4.38,4.38,1.47,6.51,1.02,0.85,3.38,1.43,3.51,12.6
Goga Bitadze,-2.0,12.47,4.31,1.84,1.76,0.44,3.33,0.82,0.2,1.33,0.38,2.09,5.13
Jeremy Lamb,-0.83,21.26,7.67,3.33,3.56,1.44,3.64,1.47,0.94,0.64,0.61,2.0,10.08
Kelan Martin,-1.09,9.21,3.94,1.77,1.71,0.69,2.23,0.49,0.29,0.29,0.46,1.0,4.49
JaKarr Sampson,-0.31,10.9,3.9,1.93,0.52,0.1,2.66,0.14,0.07,0.48,0.52,1.79,4.62
Cassius Stanley,-0.21,3.89,1.79,0.54,0.54,0.12,0.83,0.04,0.04,0.08,0.04,0.58,1.5
Oshae Brissett,0.38,24.72,7.19,3.48,3.71,1.57,5.48,0.86,0.9,0.95,0.48,1.52,10.9
Amida Brimah,5.4,5.86,1.6,1.0,0.0,0.0,1.6,0.2,0.0,1.0,0.8,0.8,2.6
T.J. Warren,7.25,29.34,12.75,6.75,1.75,0.0,3.5,1.25,0.5,0.0,1.0,4.0,15.5
Victor Oladipo,-2.21,32.73,17.45,7.12,7.24,2.36,4.85,4.58,1.39,0.42,2.52,2.45,19.76
Jalen Lecque,-5.25,3.03,2.25,0.25,0.25,0.0,1.25,0.5,0.0,0.0,0.0,0.0,1.25
Brian Bowen,-12.5,2.47,0.67,0.17,0.17,0.0,0.5,0.0,0.0,0.0,0.0,0.17,0.5
Stanley Johnson,0.05,16.48,3.82,1.46,2.25,0.74,2.51,1.46,0.85,0.3,0.89,1.9,4.38
Chris Boucher,0.53,24.21,9.33,4.8,3.92,1.5,6.73,1.05,0.58,1.85,0.77,2.77,13.63
Pascal Siakam,0.41,35.82,17.16,7.8,4.39,1.3,7.23,4.46,1.14,0.66,2.32,3.11,21.36
Aron Baynes,-0.34,18.5,5.74,2.53,1.94,0.51,5.15,0.89,0.32,0.43,0.87,2.25,6.11
Fred VanVleet,1.67,36.51,16.73,6.5,9.15,3.35,4.23,6.31,1.67,0.71,1.83,2.29,19.6
DeAndre' Bembry,1.31,19.06,4.47,2.29,1.04,0.27,2.86,2.1,1.04,0.35,1.39,1.71,5.75
Yuta Watanabe,1.3,14.46,3.6,1.58,1.8,0.72,3.18,0.8,0.52,0.38,0.38,1.14,4.36
Malachi Flynn,1.21,19.73,7.23,2.7,3.57,1.15,2.47,2.91,0.81,0.15,0.91,1.45,7.51
Kyle Lowry,-1.96,34.82,12.96,5.65,7.2,2.85,5.37,7.35,0.98,0.3,2.74,3.11,17.2
OG Anunoby,1.42,33.33,12.07,5.79,6.07,2.42,5.51,2.19,1.53,0.74,1.74,2.65,15.86
Paul Watson,2.04,10.99,3.04,1.41,2.37,1.11,1.67,0.63,0.22,0.11,0.33,1.33,4.11
Freddie Gillespie,-2.15,19.59,4.2,2.2,0.0,0.0,4.85,0.45,0.65,1.0,0.6,2.15,5.55
Khem Birch,-5.33,22.83,5.67,2.82,0.78,0.19,5.78,1.33,0.72,0.75,0.66,1.69,7.19
Gary Trent,-1.17,31.07,13.53,5.52,7.4,2.84,2.62,1.38,0.97,0.17,0.74,1.59,15.31
Rodney Hood,-1.09,17.14,4.73,1.71,2.05,0.62,1.87,0.96,0.44,0.13,0.65,1.35,4.47
Jalen Harris,-3.92,13.24,5.54,2.77,2.77,1.31,1.38,1.31,0.62,0.0,1.08,1.15,7.38
Henry Ellenson,-16.5,19.19,7.0,2.5,4.5,1.0,6.0,2.5,0.0,0.0,0.0,3.5,7.5
Norman Powell,1.91,31.96,13.3,6.35,6.03,2.48,3.12,1.87,1.19,0.26,1.72,2.32,18.59
Terence Davis,-0.64,17.61,7.48,3.2,4.38,1.61,2.52,1.36,0.72,0.23,1.03,1.59,8.74
Alex Len,-1.95,15.29,4.34,2.67,0.39,0.12,4.06,0.77,0.31,1.0,0.86,1.98,6.61
Matt Thomas,7.09,7.26,2.82,1.11,1.78,0.6,0.98,0.42,0.09,0.0,0.31,0.4,3.09
Patrick McCaw,-4.2,6.67,0.2,0.2,0.0,0.0,0.6,0.8,0.4,0.0,0.0,1.2,1.0
Payton Pritchard,0.86,19.21,6.33,2.79,3.76,1.55,2.39,1.82,0.56,0.14,0.8,1.58,7.73
Jayson Tatum,1.62,35.78,20.59,9.45,7.58,2.92,7.38,4.31,1.17,0.48,2.67,1.91,26.44
Grant Williams,1.17,18.06,3.92,1.71,2.05,0.76,2.83,1.02,0.51,0.38,0.89,2.56,4.67
