LAL,
PHI,
BRK,
MIL,
IND,
TOR,
BOS,
NYK,
CHI,
CHO,
MIA,
ATL,
ORL,
WAS,
CLE,
DET,
UTA,
LAC,
PHO,
POR,
SAS,
DEN,
GSW,
DAL,
MEM,
NOP,
SAC,
OKC,
HOU,
MIN
